FID,NAME,Shape__Area,Shape__Length
1,Beaver Creek Park,8.8171745122e-05,0.095394012663151
2,Charlotte Y. Humphris Park,1.1664106219e-05,0.02063144499613
3,Chris Greene Lake Park,9.876345319e-05,0.049681899813682
4,Darden Towe Park,4.773835039e-05,0.040965926426706
5,Dorrier Park,1.621708993e-06,0.01028664248325
6,Mint Springs Valley Park,0.000211165596931,0.068071695588569
7,Patricia Ann Byrom Forest Preserve Park,0.000244530737951,0.118419453638586
8,Preddy Creek Trail Park,0.000188006376326,0.094294523963609
9,Simpson Park,5.846064989e-06,0.011746748137313
10,Totier Creek Park,8.4662909186e-05,0.059810946119292
11,Walnut Creek Park,0.000231319553526,0.088959246448724
